year,resid,age,gender,race,educ1,urban,region,income,union,religion,martial_status,occup2,partyid7,str_partyid,dlikes,rlikes,presvote_2party,ideo7,perfin1
1992,337,43,1,1,4,2,2,4,1,1,1,2,1,4,5,-2,1,3,2
1992,338,30,2,1,4,2,2,4,1,1,1,1,7,4,-1,0,2,6,2
1992,339,35,1,1,3,2,2,3,2,1,1,5,7,4,-3,-1,2,6,2
1992,340,34,2,1,2,2,2,3,2,1,1,2,5,2,-4,0,2,6,1
1992,341,81,1,1,1,1,3,1,2,4,5,3,1,4,3,-2, ,4,2
1992,342,37,1,1,2,2,2,4,2,2,1,1,4,1,1,1, ,6,1
1992,343,56,2,1,2,2,2,4,2,1,1,1,5,2,1,0, ,6,3
1992,345,54,1,2,1,3,3,3,2,1,2,3,1,4,1,-2, ,1,2
1992,346,67,2,1,2,3,2, ,2,1,5,6,7,4,-1,2,2,6,2
1992,348,42,2,5,4,2,3,3,2,1,5,1,4,1,0,1, ,6,1
1992,349,45,2,1,1,3,3,1,2,1,3,3,1,4,2,2, ,6,2
1992,350,23,2,1,3,2,2,2,2,2,3,2,5,2,0,0,2,3,3
1992,351,45,2,2,3,1,2,3,2,1,3,2,1,4,1,-1,1,4,3
1992,353,51,1,1,3,2,2,4,1,2,1,3,4,1,-3,-3, ,4,2
1992,354,44,1,1,4,1,2,4,2,2,1,2,3,2,4,-1,1,3,3
1992,357,31,2,4,2,3,3,2,2,1,2,1,1,4,1,-1,1,4,3
1992,359,69,2,1,3,2,1,4,2,2,1,2,6,3,4,0,1,4,3
1992,360,47,2,3,3,2,1,4,1,1,1,6,5,2,0,1, ,6,1
1992,361,46,2,1,2,3,4,1,2,2,3,2,2,3,2,-4,1,6,3
1992,362,34,2,1,4,3,3,4,2,1,1,1,3,2,4,-1, ,2,3
1992,363,27,2,1,4,3,3,3,2,1,2,1,5,2,1,-2,1,3, 
1992,364,61,2,2,2,3,3, ,1,1,5,3,1,4,2,-3, ,2, 
1992,366,19,2,1,3,3,3,2,2,1,2, ,6,3,0,-2,2,4,3
1992,367,67,2,1,1,3,2, ,2,1,5,3,3,2,4,0,2,3,2
1992,368,35,2,1,2,3,2,4,2,1,1,2,6,3,-1,2,2,4,1
1992,369,27,2,5,2,2,4,4,2,1,1,2,3,2,0,0, ,4,1
1992,370,19,1,1,2,1,4,1,2,1,2,4,2,3,3,-4, ,1,1
1992,371,22,2,2,2,1,3,2,2,1,2, ,4,1,1,0,1,4,3
1992,372,20,2,2,2,1,3,2,2,1,2,6,3,2,1,-2, ,6,2
1992,374,41,2,1,4,2,3,3,1,1,2,1,2,3,3,2,2,4,1
1992,375,33,1,2,4,2,2,4,2,1,3,2,1,4,0,-1,1,4,2
1992,377,27,1,1,4,1,1,4,2,3,2,1,1,4,4,-5, ,1,1
1992,378,19,1,2,2,2,1,1,2,1,2,1,1,4,5,-3,1,4,3
1992,379,31,1,1,4,2,1,4,2,1,1,1,7,4,-1,4,2,7,2
1992,380,35,2,1,2,2,1,2,2,1,5,3,3,2,0,0,1,2,1
1992,381,37,2,2,4,2,1,4,1,1,1,6,2,3,2,-1,1,2,3
1992,382,39,1,1,2,2,4,4,2,4,1,1,5,2,0,1, , ,1
1992,383,42,1,2,4,2,4,5,1,2,1,3,4,1,2,-2,1,4,2
1992,384,51,1,5,2,3,1,3,1,4,1,5,3,2,2,-1,1,4,2
1992,385,55,2,1,3,3,1,5,1,2,1,2,5,2,-1,2,2,4,3
1992,387,33,1, , ,3,3,3, , , ,1,5,2,0,1,2,5,1
